Asunto,Reseña,Fecha,Calificación
Mit 235kmh von Wien nach Linz,Mit 235kmh von Wien nach Linz. Besser gehts nicht!,2025-08-06,5
Sehr nettes Personal auf der Strecke…,"Sehr nettes Personal auf der Strecke München -Bolonga Zug Nr. 87.
Aufmerksam, Hilfsbereit und sehr Umsichtig würde unsere Reise zu einem unvergesslichem Ereignis.
Wir können die Reise sehr empfehlen und bedanken uns bei dem Mitarbeiter von DoNs.
Eine Reisegruppe süß Brandenburg",2025-06-26,5
Wir sind heute von mit dem Zug Nr,"Wir sind heute von mit dem Zug Nr. 87 der ÖBB von München Hbf nach Verona Porta Nuova gefahren und hatten den besten Zugbegleiter von DoN‘s, den man sich wünschen kann. Perfekter Service und super aufmerksam. Wir würden jederzeit wieder mit der ÖBB fahren!",2025-06-26,5
Trotz Menschenmengen nette und…,"Trotz Menschenmengen nette und freundliche Zugbegleiterin, bei freiwerdenden Plätzen, Durchsagen abgegeben. RJ 642",2025-06-22,5
Vielen Dank an die ÖBB,"Vielen Dank an die ÖBB, dass der Zug, trotz Streik in Italien, von Ancona nach München pünktlich fährt.
Kompliment!",2025-06-16,5
Musste heute von Wels nach Wien mit der…,"Musste heute von Wels nach Wien mit der ÖBB fahren.
Hatte eine Frage bezüglich Sitzreservierung. Bei der Info traf ich ein super Team (1 Frau+ 2 Männer).
Waren sehr kompetent, freundlich und man hatte sogar seinen Spaß mit Ihnen. Solche Eigenschaften findet man heutzutage leider sehr selten! Die ÖBB kann stolz auf Ihre Mitarbeiter sein!",2025-06-04,5
Fahrt mit ebike im intercitybus,"Waren mit 3 ebikes von graz nach villach mit dem railjet und weiter bis velden unterwegs. Mitarbeiter waren uns beim verladen behilflich. Rückfahrt udine bis villach top. Kein Problem trotz großem Andrang mit rädern. Klagenfurt nach graz mit intercitybus schwierig trotz Reservierung für ebikes. Mitarbeiter war super und hat uns die Räder verladen, was sehr schwierig war. Ein großes Danke dem Chauffeur.",2025-05-31,5
Sehr pünktlich und sehr freundlichen Personal. Tiptop,1e klasse gefahren. Sehr angenehm und pünktlich. Top Personal.,2025-05-25,5
bin eigentlich zufrieden,"bin eigentlich zufrieden. Wenn man wo anders war, weiß man dann das zu schätzen :D",2025-05-19,5
Es war angenehm auch das Personal war…,Es war angenehm auch das Personal war sehr hilfsbereit aber auch die Plätze waren sauber,2025-05-12,5
Es war ein sehr angenehmer Aufenthalt,"Es war ein sehr angenehmer Aufenthalt
Nettes Personal und saubere Sitze",2025-05-12,5
Danke ÖBB,Danke ÖBB! Das war eine wunderbare Reise von Leibnitz nach Wien (Business Class). Kompetente und äußerst freundliche Mitarbeiter. Ausgezeichnetes Essen und super Service. Musste 2 Mal umsteigen. Umsteig/Wartezeit gesamt 4 Minuten! Erstklassig! Gerne wieder,2025-05-09,5
Total zufrieden,"Fahre fast jeden Tag mit den ÖBB. Fast nie gibt es auf meinen Strecken Probleme oder Verspätungen. Es ist vielleicht jeder zehnte Zug mit dem ich fahre maximal ein paar Minuten verspätet. Und wenn Mal was ausfällt gibt es sofort alternativzüge und Ersatzbusse. Ich bin in 14 Jahren Zugfahren vielleicht drei Mal über eine Stunde verspätet angekommen. Die Züge sind angenehm und die Mitarbeiter sympathisch. Der Support ist gut und die Preise mit dem Klima Ticket unschlagbar. Einzeltickets könnten kurzfristig günstiger sein, spontan zu fahren ist echt teuer ohne Jahres Ticket. Ich bin jeden Tag wieder froh mit den ÖBB zu fahren. Bin jetzt auch generell pünktlicher als mit dem Auto. Danke für Eure tolle Arbeit 😊",2025-05-08,5
In Vergangenheit habe ich mich des…,"In Vergangenheit habe ich mich des öfteren rechtmäßig beschwert. Aber habe es ich auch gelobt, wenn alles geklappt hat. Nein. Das möchte ich jetzt nachholen, weil 1 Zugführer für mich 10 Sekunden die Abfahrt verzögert hat, damit ich noch aufspringen konnte. Das ist sicher auch nicht planmäßig, aber wahr. Danke.",2025-04-28,5
Sehr nett und humorvoll,Sehr nett und humorvoll. Schienenverkehr hat sogar Spaß gemacht 🤙👍,2025-04-25,5
A lovely relaxed trip from Brussels to Vienna,"We had a wonderful 15-hour trip in a deluxe (with en-suite shower/toilet) sleeper compartment of OBB Nightjet (bed 42 and 46) from Brussels to Vienna. The train was rather outdated, but was kept very clean. The shower had nice water pressure, and there was enough warm water.
The compartment had a place for 3 people, but we found that it could comfortably house up to 2 people before it got claustrophobic :-)
The mattress of the bed was the only negative point: it was much too hard for our liking.
The train personnel, Mr. Dogbla, took really good care of us. We couldn't ask too much from this great cheerful and helpful gentleman! Thank you very much for the excellent service, Mr. Dogbla!
The breakfast was excellent and plentiful (you can choose up to 6 items from the menu). You can also buy some hot meals and other snacks/drinks at very reasonable prices.
On the way back (Sunday 6/04/25,), we had a couple of hours delay, but the refund process of OBB was excellent.
We'll definitely use this train again in our next trip!",2025-04-23,5
Vorbildliche Hilfe durch Lost&found Büro Salzburg Hbhf,"Geschätzte ÖBB !

Ich habe heute im RJ548 (Wien Hauptbahnhof-Salzburg HBf) beim Aussteigen in Wels meinen Trolly mit meinen Haustürschlüsseln vergessen. Als ich es bemerkte fuhr der Zug von Wels Richtung Salzburg schon wieder ab. In Folge bin ich gleich mit dem nächsten Zug dem RJ548 nach Salzburg Hauptbahnhof nachgefahren.
Dort fragte ich um 14h im Büro ""Lost&found"" nach, ob mein Trolly eventuell abgegeben wurde und bekam hoch erfreulich innerhalb von 15 Minuten meinen Trolly wieder zurück . Der Leiter des Fundbüros Herr Andexer Albert fiel mir dabei besonders positiv, hilfsbereit und entgegenkommend auf.
Denn Herr Andexer Albert telefonierte sofort nach meiner Schilderung der mit dem Trolly auch vermissten Haustürschlüssel mit dem Reinigungstrupp des Zuges. Wenige Minuten später organisierte er per Telefon , daß Nachschau im Aufenthaltsraum der Zugbegleiter nach meinem Trolly gehalten wird.
Und 5 Minuten später war der Trolly wieder in meinen Händen.
Danke auch an die Zugbegleiterin, die den Trolly sofort nach Ankunft des Zuges RJ548 um 12h49 am Hbf Salzburg zur Fundstelle mitgenommen hat, Dank den 2 Männern von der Bahnhofsecurity, die den Trolly vom Zugbeleiterraum sofort abgeholt haben und herzlichen Dank an Herrn Andexer Albert, der meine Notlage der vermissten Haustürschlüsseln durch seine effiziente rasche Nachforschung sofort positiv beendet hat.
Dank an ALLE Beteiligten, Ihr ward vorbildlich:
Alois Sebastian K",2025-04-08,5
Sehr netter Zugbegleiter,Im Zug von Villach nach Wien in der 1. Klasse war in der Früh die Heizung ausgefallen. Wir wurden mit Kaffee und Schokolade verwöhnt. Der sehr höfliche und bemühte Zugbegleiter hat dann die Heizung auch intakt gebracht :-),2025-04-03,5
Zwischen Öbb/WB und DB liegen einfach…,"Zwischen Öbb/WB und DB liegen einfach Welten. Dir österreichischen Züge sind ziemlich zuverlässig, sind mit einigen Tischen (in sinnvoller Größe und Nähe) ausgestattet und die RJ verfügen zumindest über ein Ruheabteil.

Mehr Ruheabteile wäre wünschenswert... der Fernseher der Familyzone erzeugt außerdem unnötigen Lärm. Da ist WB deutlich angenehmer. In der WB sind die Leute interessanterweise meist auch deutlich ruhiger. Vlt liegt das an der Aufteilung der Abteile? (Durch Doppeldecker gibt es mehr Tischplätze, wodurch weniger Leute auf engem Raum sitzen. Die Tischplätze ermöglichen außerdem mehr Leuten ein leises Arbeiten m Laptop.... )",2025-04-03,5
Super Personal schöner super Zug sehr…,"Super Personal schöner super Zug sehr Modern
Ich konnte mich mit meinen Großeltern spontan umsetzten",2025-03-18,5
Ich bin heute mit meinen Enkelkindern…,"Ich bin heute mit meinen Enkelkindern mit der Öbb Rex 6 (7621) um 13.23 von Soprob nach Wien Meidling gefahren.
Der Schaffner war extrem freundlich und hilfsbereit. Wir mussten das Zugteil wechseln und hatten nur 6 Minuten zum umsteigen in den Anschlusszug.
Er hat sich so bemüht und mir sogar noch mit meinem Koffer geholfen.

Vielen Dank für diesen Service.",2025-03-04,5
Frau SARA H hat mich gestern,"Frau SARA H hat mich gestern, 1. März 2025, ausgezeichnet am Hauptbahnhof - Schalter 9 - unterstützt. Gleichzeitig hat Ihre Mitarbeiterin mir das neue App zum Punktesammeln bei der Installierung perfekt angeleitet. Ich war bis zum 31. August 2015 im damaligen BMVIT ZA-Vorsitzender für die Post- und Fernmeldehoheitsverwaltung tätig und wünsche mir, dass Sie dieser Dame eine Belohnung zukommen lassen.",2025-03-02,5
Bin die letzten Monate 2x nach Wien…,Bin die letzten Monate 2x nach Wien gefahren. 1x Railjet FH/ Wien und 1x Autoreisezug Feldkirch/Wien. Alles super funktioniert und pünktlich.,2025-02-22,5
Gisteren zijn we met de nachttrein…,"Gisteren zijn we met de nachttrein (Nightjet) van Brussel naar Wenen gereisd.
Met alle uiterst negatieve commentaren over de OBB spoorwegmaatschappij namen we met een klein hartje plaats in onze “double slaapcouchette” voor 2 personen. De medewerker was super vriendelijk en behulpzaam. Alles was heel net en proper. Er was een lavabo met koud en warm water IN onze slaapplaats. Op het einde van de gang was er zelfs een douche. We werden getrakteerd op elk een flesje lekkere frisse Prosecco. Inclusief borrelnootjes.
Rond 22.30 u werd ons bed opgemaakt met verse lakens en een prima matras. Wie nood had aan oordoppen en/of slaapmasker…alles was voorzien om de nacht zo aangenaam mogelijk te maken. En dat werd het ook.
‘s Morgens een lekker ontbijtje met vrije keuze van samenstelling.
Kortom. We waren in positieve zin verrast dat alles zo piekfijn in orde was.
Ik kan hier natuurlijk enkel spreken van de lijn Brussel-Wenen.
Deze is voor ons echt een aanrader als alternatief voor een vliegreis.
Doen!",2025-02-13,5
wir können die Mitarbeiter desdas ÖBB…Info-Center am Hauptbahnhof,"wir können die Mitarbeiter desdas ÖBB Info-Center am HBF nur für die Hilfsbereitschaft und Kompetenz loben.
Am 11. 2.2025 hat eine sehr nette kompetente Mitarbeiterin uns beim Umbuchen mit Storno geholfen und am12.02.2025 hat ein Mitarbeiter uns bei der Reservierung für ein Fahrrad auf einen internationalen Zug in Kroatien geholfen.
Ein großes Danke an Alle für Unterstützung.
mit freundlichen Grüßen Burkhard",2025-02-13,5
DANKE,"DANKE
Ein großes Lob an die ÖBB-Mitarbeiter!!! Egal ob man eine Telefonauskunft benötigt oder im Zug direkt eine Information braucht oder am Informationsschalter in den Bahnhöfen - ich wurde jedes Mal äußerst freundlich und kompetent beraten. Selbst bei Zugverspätungen wegen Unwetter (Starkregen, Schnee usw.) bemühen sich die Mitarbeiter um rasche Abwicklung der Gutscheine.
Ich reise viel mit dem Zug und hatte kein einziges Mal einen Grund mich zu beschweren. Vielen Dank!",2025-02-10,5
Die Zugbegleiter im ICE 119 am Sonntag…,"Die Zugbegleiter im ICE 119 am Sonntag 09.02.2025 sehr kompetent, Freundlich,und charmant",2025-02-09,5
Ich war heute 12:00uhr Richtung Brenner…,Ich war heute 12:00uhr Richtung Brenner der zugbegleiterr war unglaublich sehr sehr freundlich,2025-01-18,5
Was soll man sagen,"Was soll man sagen? Auf 4 Strecken die ich gefahren bin war alles optimal. Der Zug war 1 mal um 3 Minuten verspätet. Auf die Hotline habe ich ca. 55 Minuten gewartet, was bisschen frustrierend war, aber sonst top!",2025-01-12,5
Also ich bin gerade in St.Johann in…,"Also ich bin gerade in St.Johann in Tirol und mein Zug ist um 3 Minuten zu früh abgefahren, darauf hin habe ich bei der Hotline angerufen, und es wurde so schnell und professionell gehandelt damit ich keine weiteren Kosten habe, das ist halt unsere ÖBB Vielen Dank den extrem netten Herren bei der Hotline🙏💪💪💪",2025-01-08,5
Danke an Frau klas die mich am 22.12 um…,"Danke an Frau klas die mich am 22.12 um 20.30 am Hotline betreut hat

Die Dame war so freundlich und nett
Musste diesen Lob loswerden

Auch gute Taten sollten ans Tageslicht kommen

Danke nochmals Frau klas",2024-12-22,5
Dies kann man von den meisten Busfahrern nicht so erzählen.,"der busfahrer der am 25.11.2024 um 07:12 nach Bad Leonfelden fuhr war sehr freundlich, bemüht und ließ mich noch einsteigen obwohl er die tür schon geschlossen hatte. Außerdem sind seine fahrkünste große klasse!!",2024-11-25,5
Nachtfahrt von Hamburg nach Rosenheim nsere Nachtfahrt von Hamburg nach…,"Unsere Nachtfahrt von Hamburg nach Rosenheim war sehr angenehm. Freundliches, hilfsbereites Personal, zwei Begrüßungsgeschenk-Tüten, saubere Kabine mit zwei Betten übereinander und ein kleines WC mit Waschbecken und saubere Handtücher. Natürlich sind die Kabinen klein, die Betten schmal, aber wir konnten die 12 Stunden Fahrt zum größten Teil schlafend verbringen und wurden mit einem guten Frühstück pünktlich geweckt, bevor der Zug pünktlich ankam. Jederzeit wieder!!!",2024-11-23,5
ÖBB-Hotline Frau Esma Yavuz ...,"... war sooo nett, kompetent, aufmerksam und konnte mir alle Fragen beantworten - ein großes Lob! Auf solche Mitarbeiter darf man stolz sein! Vielen lieben Dank!",2024-11-07,5
Aussergewöhnlich netter und kompetenter Mitarbeiter Herr Parzer,Unsere Zugverbindung nach Berlin wurde storniert- wir kontaktierten die ÖBB Hotline und uns wurde durch Herrn Parzer aussergewöhnlich nett und kompetent geholfen! Vielen Dank,2024-10-26,5
alles prima,Alles war super!,2024-10-11,5
Nettesten Lokführer!,"Es gibt sie noch die netten Menschen,das habe ich heute erfahren dürfen,wir sind kurz vor knapp am Bahnsteig 2 um 15.07Uhr in Graz angekommen,der Zug wollte gerade losfahren und der nette Lokführer hat uns noch einsteigen lassen!Möchten uns auf diesem Wege für die Freundlichkeit und Hilfsbereitschaft von diesem Lokführer bedanken,es ist wahrhaft keine Selbstverständlichkeit das Wissen wir!Grosses Lob an solche Mitarbeiter der ÖBB!!!Mfg.Grill",2024-10-05,5
Der beste Busfahrer,Der Busfahrer hatte einen Schwarzen voll Bart und schwarze harre Salzburg Verkehr wirklich ich Steig ein er hat mich herzlich eingeladen und ich hatte sehr Starke Kopfschmerzen aber dann blieb der Busfahrer an der Seite stehen und fragte mich ob alles ok sei ich meinte es seihe nur leichte Kopfschmerzen und er hat mir Wasser an Buslinie 871 Salzburg Verkehr Bus 19:52-19:58 gefahren am 4 Oktober 2024 wirklich ein Ehrenmann,2024-10-04,5
Freundliches Speisewagenpersonal,"Die Dame im Speisewagen des RJ 797 motivierte den Zugführer mir zu meinem heutigen Geburtstag einen Gutschein für Kaffee und Mehlspeise auszustellen, weil ich nicht gewusst hatte, dass ich mit der Senior-Vorteilscard heute gratis mit der ÖBB fahren durfte und mir deshalb eine Fahrkarte gekauft hatte.
So freundliche Menschen, wie Frau Elvira sollte es mehr geben.",2024-10-02,5
Wie schön dass es Zugbegleiter/Schaffner wie Herrn Robert Bernadi gibt!,"Aktuell sind alle Zugbegleiter/Schaffner sehr belastet mit all den Missständen im Zusammenhang mit dem Bahnverkehr. Verspätungen, Ausfälle...was auch immer: alle beschweren sich beim Schaffner. Wir - eine kleine Gruppe - sind am 26.09.2024 um 7:16 Uhr mit dem RJ von Villach nach Salzburg gefahren. DANKE an unseren Zugbegleiter, Herrn BERNARDI ROBERT aus Villach, für seine liebenswerten und freundlichen Bemühungen! Unsere An- und Rückreise mit dem Zug hat durch ihn und seinen persönlichen Einsatz sehr viel an Mehrwert gewonnen. Schön, dass es noch Zugbegleiter gibt die nach so vielen Arbeitsjahren so bemüht sind obwohl viele Bahnkunden sich gegenüber den Zugbegleitern leider oftmals sehr unangemessen verhalten.",2024-09-27,5
Ich war am Schalter in Salzburg bei…,"Ich war am Schalter in Salzburg bei Herrn Marcus Blöchl.

Obwohl die Situation im Moment sehr belastend für alle ÖBB MA ist , hat sich Herr Blöchl sehr freundlich und kompetent gegeben.
Ein grosses Dankeschön.
Heute ist es sehr selten das man noch mit so einer Kompetenz behandelt wird.

L.g Barbara Sattlberger",2024-09-27,5
Sehr sauber und ruhig,,2024-09-20,5
Villach,"Villach, Hauptbahnhof, Bahnsteig 91/92 . Bahnsteig zur Zeit nicht barrierefrei,aber immer 1 öbb Bediensteter vor Ort + immer sehr engagiert, hilfsbereit = Gebäck oder Fahrrad wird sofort + ohne Murren nach unten bzw. nach oben befördert. Danke an diese ""starken"" Männer. Für mich ist das immer eine grosse Erleichterung.",2024-09-07,5
Pünktliche Züge,"Pünktliche Züge, freundliches und kompetentes Personal, wenn ich den Service mit dem der Deutschen Bahn vergleichen muss, ist das ein Abgrund. Ich hoffe, dass es so weitergeht.",2024-07-22,5
Rückerstattung im Eiltempo,"Mein Nightjet kam verspätet am Ziel an. Das war leider zu erwarten, kann man auf entsprechenden Websites nachlesen und die Gründe liegen größtenteils am Management der deutschen Strecke, nicht an der ÖBB. Jedenfalls hab ich am selben Tag online die Erstattung wegen Verspätung angefragt. Am Tag drauf kam eine Nachfrage zu meiner Ticketnummer und innerhalb von 7 Minuten nach meiner Antwort war der Betrag bei PayPal gutgeschrieben. Von diesem Service kann man bei der DB nur träumen.",2024-07-10,5
Alles TOP,"Zugnummer 130 RJ Von Venedig nach Wien Hauptbahnhof
PÜNKTLICHKEIT, Reservierung -Perfekt,
Speisewagen- tolle saubere, aufmerksame sehr freundliche Crew
Info über Umleitung ,Verspätung wegen Oberleitungsschaden vor Klagenfurt
Wir fahren ÖBB🥰🥰🥰👍👍👍",2024-07-06,5
Beatrice Zugbegleiterin,"Beatrice, die Zugbegleiterin im Railjet 133 ist außerordentlich hlfsbereit, freundlich und kompetent. Ich fahre mit den ÖBB öfters die Strecke Klagenfurt- Wien und retour. Frau Beatrice hat mir immer wieder geholfen wenn ich schweres Gepäck hatte !!!! Großes Kompliment !!!!!! Mit freundlichen Grüßen Gerlinde Maurer",2024-06-15,5
Refundierung,"Ich war zur Jahreswende 23/24 in Wien. Leider bekam ich die Nachricht, dass meine Schwiegermutter verstorben ist. Daher musste ich vorzeitig Abreisen und konnte die gebuchte Rückreise nicht in Anspruch nehmen. Die ÖBB hat mir die Rückreise aus Kulanz mit einem Gutschein erstattet. Dafür möchte ich mich nochmal bedanken.
Herzliche Grüße aus Peine (Niedersachsen)
Hartmut Ohmes",2024-05-27,5
Freundliche kompetente Beratung,Besonders hervorheben möchte ich diesmal das Gepäck Service. Hab gestern die Gepäck Abholung bestellt. Am Telefon war ein ausgesprochen freundlicher Mitarbeiter. Alles hat wunderbar geklappt und wir können nun stressfrei unsere Reise mit dem Zug antreten ohne schwere Koffer schleppen zu müssen. Vielen Dank für die freundliche Betreuung.,2024-05-22,5
Wir hatten für 4 Personen am 23.04.2024…,"Wir hatten für 4 Personen am 23.04.2024 die Sparschiene Bruck an der Mur bis Wien Flughafen inklusive Sitzplatz gebucht.

Haben das Parkhaus genutzt und sind um 04Uhr56 in Bruck an der Mur pünktlich abgefahren.
Trotz Schienenersatzverkehr
(3maligem Umsteigen mit Koffer)
sind wir Alle wie geplant am Flughafen angekommen.

Rückreise 30.04.2024 wieder mit Sparschiene und Sitzplatzreservierungen
Wir waren sehr überrascht und zufrieden über die Pünktlichkeit sowie die nette Betreuung des Zugpersonals.

Preis - Leistung super, WIR fahren bei der nächsten geplanten Reise sicher wieder mit der ÖBB

Herzlichen Dank nochmals !
Fam. Stelzer",2024-05-15,5
Eine freudige Zugfahrt,"Mein Partner und ich sind heute am 13 Mai um 7 Uhr 14 von Villach nach Wien gefahren.
Leider hatten wir durch eine Schulklasse und fehlender Reservierung, keinen Sitzplatz gefunden. So sind wir hin und hergewandert und am Ende einfach in der Mitte stehen geblieben.
Der nette Schaffner hat uns dann einen Sitzplatz gesucht und hat auch einen Herrn der 2 Plätze belegt hat, darauf hingewiesen das er seine Tasche wegtun soll, damit sich mein Freund setzen kann.
Danke dafür, wir haben uns auch danach noch sehr gefreut.",2024-05-13,5
Klassische Musik im Bahnhof,"Während ich im Handelskai auf die Bahn zum Flughafen warte, höre ich leise aus dem Lautsprecher schöne klassische Musik ertönen.
Auch wenn eine Bahn ankam und wieder abfährt, hört man gleichzeitig mit der Geschwindigkeitsbeschleunigung aufgehende Tonleiter. Klasse!!
Nun wird meine Sorge, dass die klassische Musik langsam ignoriert wird, hierdurch gemildert. Bravo!",2024-05-09,5
Nachdem meinen Sohn das Handy aus der…,"Nachdem meinen Sohn das Handy im Zug aus der Tasche gefallen ist und er das erst kurz nach dem Aussteigen bemerkte, informierten wir sofort das Schalterpersonal in Klagenfurt am Hauptbahnhof. Dieser rief ohne zu zögern sofort das Personal im Zug an, die wiederum umgehend das Handy am beschriebenen Platz suchte und es auch fand. Freundlicherweise gab sie es dann auch schon in Villach am Schalter ab, so dass wir es eine halbe Stunde später abholen konnten.
Wir danken allen Beteiligten herzlich für die sehr spontane Hilfe. Das war eine tolle Geschichte... Vielen Dank an die hilfsbereiten Menschen am Mittwoch Nachmittag den 30.4.2024.",2024-05-04,5
Great telephone (hotline) customer support,"Been traveling with them for multiple years now with the night jet. When things don't go as planned, they always provide great phone customer service. They always try to work with you and even go out of their way to help you when they don't have to.",2024-03-27,5
Ich könnte meine Ticktbuchung nicht…,Ich könnte meine Ticktbuchung nicht mehr finden und hatte ein äusserst positives Telefonerlebnis mit Herrn PFLEGER von der Hotline um 19.00..er konnte mir in Kürze die Tickets erneut an die richtige Email Adresse senden...erleichtert und voll zufrieden kann ich die Reise antreten.solche Mitarbeiter wie Hrn PFLEGER müssen persönlich gelobt werden ..gratuliere an das Service der OEBB,2024-03-14,5
Ich fahre sehr selten,"Ich fahre sehr selten, aber dieser Schaffner im Zug 767 ist so gut gelaunt, nett und überaus höflich, dass ich ihn bei meiner Reservierung beim nächsten Mal gerne mitbuchen würde. Er hat mich total mitgerissen. Schade, dass ich vergessen habe, wie er uns alle begrüßt hat.",2024-03-13,5
"Wiener Hauptbahnhof- Herzlichen Dank, lieber Gerald!","Gerade hatte ich eine wunderbare Erfahrung mit dem ÖBB Mitarbeiter. Am Wiener Hauptbahnhof wurde mir schnell und unkompliziert bem Umbuchen meines Ticket geholfen. Vielen Dank, lieber Gerald! Solche nette und professionelle Menschen wie Sie sind eine Bereicherung für das Österreichische Bus- und Bahn Unternehmen.",2024-03-10,5
Waren am 23.2.24 von Feldkirch nach…,"Waren am 23.2.24 von Feldkirch nach Graz unterwegs. Im Zug nach Innsbruck hat uns Zugbegleiter Wuchi weitergeholfen um in der ersten Klasse einen Sitzplatz zu bekommen, weil dieser nicht von Feldkirch Bahnhof richtig gebucht wurde. Von Innsbruck nach Salzburg können wir es nur Andreas K verdanken das wir Von Zug 161 den Anschluss nach Graz erreichen konnten!!!
Vielen Dank Für die Bemühungen dieser zwei Zugbegleiter!!! Ihr seid der Wahnsinn.!!lg Isabella Mathis",2024-02-23,5
Lieben dank an die Zugbegleiter Andreas…,"Lieben dank an die Zugbegleiter Andreas K. von Innsbruck nach Salzburg und Wuchi von Feldkirch nach Innsbruck für ihre Bemühungen das wir den anschlusszug nach Graz noch bekommen. Ihr seids super.
Lg Angelika Mair",2024-02-23,5
Kørte til tiden og med god komfort.,,2024-02-17,5
Danke das ihr heute trotz Verspätung…,"Danke das ihr heute trotz Verspätung (Schweiz-Salzburg), relativ pünktlich zum Zielort gefahren seid. Dank euch, kann ich einen schönen Valentinstag haben.❤️",2024-02-14,5
Immer wieder gerne,"Hatte die Tage wie so oft, eine Reise mit der DB, 1.Klasse von Mannheim nach München gebucht. Natürlich ist der Zug ausgefallen. Als Ersatz wurde eine Verbindung der ÖRB eingesetzt. Alleine die 1. Klasse hat mich umgehauen. Sowas von bequem. Und das viele Personal... Da sollten sich die Deutschen was anschauen...",2024-02-09,5
Ich möchte mich ganz herzlich bei Frau…,"Ich möchte mich ganz herzlich bei Frau Michaela Brkic bedanken. Mit viel Geduld, Freundlichkeit und Professionalität hat sie gestern, 25.01.2024 telefonisch Bahntikets für mich und 11 Freundinnen gebucht. Vielen Dank!!! Dr. Mariantonietta Talpo",2024-01-26,5
Es geht auch anders!!!! Gestern habe ich über die ÖBB…,"Gestern habe ich über die ÖBB Infostelle vom Westbahnhof berichtet.
Heute war ich am Hauptbahnhof. Kein Vergleich!!! Die Frage war die selbe. Wir möchten nach Salzburg oder Braunau. Der junge Mann gab uns einen Fahrplan, zeichnete die von uns gewünschten Züge an , auch für Braunau ein Computerausdruck. Berechnete uns die Preise. Wies auf die Vorteilskarte, die Sparschiene hin!!!
Herr Thomas Horvath-Kafka vor den Vorhang. So soll Kundenservice sein. Vielen Dank
Brigitte Kugel",2024-01-10,5
Positive Überraschung mit Manko,"Wir waren überrascht vom Angebot im Speisewagen von Dons und dem schnellen Erfassen der Tickets. Der Zug war nicht überfüllt, es war ein angenehmes Klima zum Reisen. Wir hoffen auf eine ebenso angenehme Rückreise.

Einziges Manko am Bahnhof St.Pölten - beim Umsteigen Richtung Salzburg: Trotz relativ, rechtzeitiger Überprüfung wo sich der Zugwagon mit den reservierten Sitzplätzen befinden wird und einer vorab Positionierung, waren zu wenig Markierungen (Tafeln in der Luft und/oder Boden) angebracht, um schnell und einwandfrei in den betreffenden Zugwagon einzusteigen. Wer nicht im Laufen mit Reisegepäck geübt ist, hätte da seine Freude gehabt, den Zug rechtzeitig zu erwischen.",2024-01-05,5
